"","word_onset","word_offset","word","number","Word_Onset","Word_Offset","Word_Duration"
"1",91.930058,92.20179,"look",24,91930.058,92201.79,271.732000000004
"2",92.20179,92.332413,"at",24,92201.79,92332.413,130.622999999992
"3",92.332413,92.678832,"this",24,92332.413,92678.832,346.418999999994
"4",92.678832,92.866978,"new",24,92678.832,92866.978,188.146000000008
"5",92.866978,93.483541,"number",24,92866.978,93483.541,616.562999999995
"6",108.631901,108.907448,"look",67,108631.901,108907.448,275.547000000006
"7",108.907448,109.03807,"at",67,108907.448,109038.07,130.622000000003
"8",109.03807,109.384489,"this",67,109038.07,109384.489,346.418999999994
"9",109.384489,109.572635,"new",67,109384.489,109572.635,188.146000000008
"10",109.572635,110.189198,"number",67,109572.635,110189.198,616.562999999995
"11",123.365831,123.821578,"look",89,123365.831,123821.578,455.747000000003
"12",124.171811,124.431784,"here",89,124171.811,124431.784,259.972999999998
"13",124.431784,124.499797,"is",89,124431.784,124499.797,68.0130000000063
"14",124.499797,124.686672,"a",89,124499.797,124686.672,186.875
"15",124.686672,125.315947,"number",89,124686.672,125315.947,629.274999999994
"16",138.22053,138.496076,"look",48,138220.53,138496.076,275.546000000002
"17",138.496076,138.626698,"at",48,138496.076,138626.698,130.622000000003
"18",138.626698,138.973117,"this",48,138626.698,138973.117,346.418999999994
"19",138.973117,139.161264,"new",48,138973.117,139161.264,188.146999999997
"20",139.161264,139.777826,"number",48,139161.264,139777.826,616.562000000005
"21",152.238739,152.514285,"look",182,152238.739,152514.285,275.546000000002
"22",152.514285,152.644907,"at",182,152514.285,152644.907,130.621999999974
"23",152.644907,152.991326,"this",182,152644.907,152991.326,346.419000000024
"24",152.991326,153.179473,"new",182,152991.326,153179.473,188.146999999997
"25",153.179473,153.796035,"number",182,153179.473,153796.035,616.562000000005
"26",165.820905,166.096451,"look",836,165820.905,166096.451,275.546000000002
"27",166.096451,166.227073,"at",836,166096.451,166227.073,130.622000000003
"28",166.227073,166.573492,"this",836,166227.073,166573.492,346.418999999994
"29",166.573492,166.761639,"new",836,166573.492,166761.639,188.146999999997
"30",166.761639,167.378201,"number",836,166761.639,167378.201,616.562000000005
"31",188.923871,189.199418,"look",492,188923.871,189199.418,275.54700000002
"32",189.199418,189.33004,"at",492,189199.418,189330.04,130.622000000003
"33",189.33004,189.676459,"this",492,189330.04,189676.459,346.418999999994
"34",189.676459,189.864605,"new",492,189676.459,189864.605,188.146000000008
"35",189.864605,190.481168,"number",492,189864.605,190481.168,616.562999999995
"36",202.299457,202.755205,"look",153,202299.457,202755.205,455.747999999992
"37",203.105437,203.365411,"here",153,203105.437,203365.411,259.973999999987
"38",203.365411,203.433423,"is",153,203365.411,203433.423,68.012000000017
"39",203.433423,203.620299,"a",153,203433.423,203620.299,186.875999999989
"40",203.620299,204.249573,"number",153,203620.299,204249.573,629.274000000005
"41",218.151144,218.606891,"look",574,218151.144,218606.891,455.747000000003
"42",218.957124,219.217097,"here",574,218957.124,219217.097,259.973000000027
"43",219.217097,219.28511,"is",574,219217.097,219285.11,68.0130000000063
"44",219.28511,219.471985,"a",574,219285.11,219471.985,186.874999999971
"45",219.471985,220.10126,"number",574,219471.985,220101.26,629.275000000023
"46",232.235458,232.691206,"look",629,232235.458,232691.206,455.748000000021
"47",233.041439,233.301412,"here",629,233041.439,233301.412,259.973000000027
"48",233.301412,233.369424,"is",629,233301.412,233369.424,68.0119999999879
"49",233.369424,233.5563,"a",629,233369.424,233556.3,186.875999999989
"50",233.5563,234.185575,"number",629,233556.3,234185.575,629.275000000023
"51",246.439271,246.714818,"look",36,246439.271,246714.818,275.54700000002
"52",246.714818,246.84544,"at",36,246714.818,246845.44,130.622000000003
"53",246.84544,247.191859,"this",36,246845.44,247191.859,346.418999999994
"54",247.191859,247.380005,"new",36,247191.859,247380.005,188.146000000008
"55",247.380005,247.996568,"number",36,247380.005,247996.568,616.562999999995
"56",259.99919,260.454938,"look",27,259999.19,260454.938,455.748000000021
"57",260.80517,261.065144,"here",27,260805.17,261065.144,259.973999999987
"58",261.065144,261.133156,"is",27,261065.144,261133.156,68.012000000017
"59",261.133156,261.320032,"a",27,261133.156,261320.032,186.876000000047
"60",261.320032,261.949306,"number",27,261320.032,261949.306,629.273999999947
"61",285.196561,285.472107,"look",84,285196.561,285472.107,275.546000000031
"62",285.472107,285.60273,"at",84,285472.107,285602.73,130.622999999963
"63",285.60273,285.949149,"this",84,285602.73,285949.149,346.418999999994
"64",285.949149,286.137295,"new",84,285949.149,286137.295,188.146000000008
"65",286.137295,286.753858,"number",84,286137.295,286753.858,616.563000000024
"66",302.114201,302.569949,"look",75,302114.201,302569.949,455.748000000021
"67",302.920182,303.180155,"here",75,302920.182,303180.155,259.972999999998
"68",303.180155,303.248167,"is",75,303180.155,303248.167,68.0119999999879
"69",303.248167,303.435043,"a",75,303248.167,303435.043,186.875999999989
"70",303.435043,304.064318,"number",75,303435.043,304064.318,629.275000000023
"71",317.454523,317.910271,"look",275,317454.523,317910.271,455.748000000021
"72",318.260503,318.520476,"here",275,318260.503,318520.476,259.97299999994
"73",318.520476,318.588489,"is",275,318520.476,318588.489,68.0130000000354
"74",318.588489,318.775364,"a",275,318588.489,318775.364,186.875
"75",318.775364,319.404639,"number",275,318775.364,319404.639,629.274999999965
"76",332.468766,332.924513,"look",745,332468.766,332924.513,455.746999999974
"77",333.274746,333.534719,"here",745,333274.746,333534.719,259.972999999998
"78",333.534719,333.602732,"is",745,333534.719,333602.732,68.0130000000354
"79",333.602732,333.789607,"a",745,333602.732,333789.607,186.875
"80",333.789607,334.418882,"number",745,333789.607,334418.882,629.274999999965
"81",349.653053,349.928599,"look",438,349653.053,349928.599,275.546000000031
"82",349.928599,350.059221,"at",438,349928.599,350059.221,130.621999999916
"83",350.059221,350.40564,"this",438,350059.221,350405.64,346.419000000053
"84",350.40564,350.593787,"new",438,350405.64,350593.787,188.146999999997
"85",350.593787,351.210349,"number",438,350593.787,351210.349,616.561999999976
"86",368.537654,368.8132,"look",941,368537.654,368813.2,275.546000000031
"87",368.8132,368.943822,"at",941,368813.2,368943.822,130.621999999974
"88",368.943822,369.290241,"this",941,368943.822,369290.241,346.418999999994
"89",369.290241,369.478388,"new",941,369290.241,369478.388,188.146999999997
"90",369.478388,370.09495,"number",941,369478.388,370094.95,616.562000000034
"91",416.353641,416.809388,"look",93,416353.641,416809.388,455.747000000032
"92",417.159621,417.419594,"here",93,417159.621,417419.594,259.972999999998
"93",417.419594,417.487607,"is",93,417419.594,417487.607,68.0129999999772
"94",417.487607,417.674482,"a",93,417487.607,417674.482,186.875
"95",417.674482,418.303757,"number",93,417674.482,418303.757,629.275000000023
"96",431.358349,431.814096,"look",52,431358.349,431814.096,455.747000000032
