word_onset,word_offset,word,number
91.930058,92.20179,look,24
92.20179,92.332413,at,24
92.332413,92.678832,this,24
92.678832,92.866978,new,24
92.866978,93.483541,number,24
108.631901,108.907448,look,67
108.907448,109.03807,at,67
109.03807,109.384489,this,67
109.384489,109.572635,new,67
109.572635,110.189198,number,67
123.365831,123.821578,look,89
124.171811,124.431784,here,89
124.431784,124.499797,is,89
124.499797,124.686672,a,89
124.686672,125.315947,number,89
138.22053,138.496076,look,48
138.496076,138.626698,at,48
138.626698,138.973117,this,48
138.973117,139.161264,new,48
139.161264,139.777826,number,48
152.238739,152.514285,look,182
152.514285,152.644907,at,182
152.644907,152.991326,this,182
152.991326,153.179473,new,182
153.179473,153.796035,number,182
165.820905,166.096451,look,836
166.096451,166.227073,at,836
166.227073,166.573492,this,836
166.573492,166.761639,new,836
166.761639,167.378201,number,836
188.923871,189.199418,look,492
189.199418,189.33004,at,492
189.33004,189.676459,this,492
189.676459,189.864605,new,492
189.864605,190.481168,number,492
202.299457,202.755205,look,153
203.105437,203.365411,here,153
203.365411,203.433423,is,153
203.433423,203.620299,a,153
203.620299,204.249573,number,153
218.151144,218.606891,look,574
218.957124,219.217097,here,574
219.217097,219.28511,is,574
219.28511,219.471985,a,574
219.471985,220.10126,number,574
232.235458,232.691206,look,629
233.041439,233.301412,here,629
233.301412,233.369424,is,629
233.369424,233.5563,a,629
233.5563,234.185575,number,629
246.439271,246.714818,look,36
246.714818,246.84544,at,36
246.84544,247.191859,this,36
247.191859,247.380005,new,36
247.380005,247.996568,number,36
259.99919,260.454938,look,27
260.80517,261.065144,here,27
261.065144,261.133156,is,27
261.133156,261.320032,a,27
261.320032,261.949306,number,27
285.196561,285.472107,look,84
285.472107,285.60273,at,84
285.60273,285.949149,this,84
285.949149,286.137295,new,84
286.137295,286.753858,number,84
302.114201,302.569949,look,75
302.920182,303.180155,here,75
303.180155,303.248167,is,75
303.248167,303.435043,a,75
303.435043,304.064318,number,75
317.454523,317.910271,look,275
318.260503,318.520476,here,275
318.520476,318.588489,is,275
318.588489,318.775364,a,275
318.775364,319.404639,number,275
332.468766,332.924513,look,745
333.274746,333.534719,here,745
333.534719,333.602732,is,745
333.602732,333.789607,a,745
333.789607,334.418882,number,745
349.653053,349.928599,look,438
349.928599,350.059221,at,438
350.059221,350.40564,this,438
350.40564,350.593787,new,438
350.593787,351.210349,number,438
368.537654,368.8132,look,941
368.8132,368.943822,at,941
368.943822,369.290241,this,941
369.290241,369.478388,new,941
369.478388,370.09495,number,941
416.353641,416.809388,look,93
417.159621,417.419594,here,93
417.419594,417.487607,is,93
417.487607,417.674482,a,93
417.674482,418.303757,number,93
431.358349,431.814096,look,52
432.164329,432.424302,here,52
432.424302,432.492315,is,52
432.492315,432.67919,a,52
432.67919,433.308465,number,52
464.636181,465.091928,look,596
465.442161,465.702134,here,596
465.702134,465.770147,is,596
465.770147,465.957022,a,596
465.957022,466.586297,number,596
485.920289,486.376036,look,69
486.726269,486.986242,here,69
486.986242,487.054255,is,69
487.054255,487.24113,a,69
487.24113,487.870405,number,69
501.450664,501.906412,look,37
502.256644,502.516618,here,37
502.516618,502.58463,is,37
502.58463,502.771506,a,37
502.771506,503.40078,number,37
518.575838,518.851384,look,368
518.851384,518.982006,at,368
518.982006,519.328425,this,368
519.328425,519.516572,new,368
519.516572,520.133134,number,368
