nFrame,time,gaze_pos.ordinal,gaze_pos.onset,gaze_pos.offset,AOI,trials.ordinal,trials.onset,trials.offset,trials.number
1,90746,1,90746,90779,not looking,1,90746,95300,24
2,90779,1,90746,90779,not looking,1,90746,95300,24
3,90812,2,90780,90813,not looking,1,90746,95300,24
4,90845,3,90814,90847,not looking,1,90746,95300,24
5,90878,4,90848,90881,not looking,1,90746,95300,24
6,90911,5,90882,90915,not looking,1,90746,95300,24
7,90944,6,90916,90949,not looking,1,90746,95300,24
8,90977,7,90950,90983,not looking,1,90746,95300,24
9,91010,8,90984,91017,right,1,90746,95300,24
10,91043,9,91018,91051,right,1,90746,95300,24
11,91076,10,91052,91085,right,1,90746,95300,24
12,91109,11,91086,91119,right,1,90746,95300,24
13,91142,12,91120,91153,right,1,90746,95300,24
14,91175,13,91154,91187,left,1,90746,95300,24
15,91208,14,91188,91221,right,1,90746,95300,24
16,91241,15,91222,91255,right,1,90746,95300,24
17,91274,16,91256,91289,right,1,90746,95300,24
18,91307,17,91290,91323,right,1,90746,95300,24
19,91340,18,91324,91357,right,1,90746,95300,24
20,91373,19,91358,91391,left,1,90746,95300,24
21,91406,20,91392,91425,left,1,90746,95300,24
22,91439,21,91426,91459,left,1,90746,95300,24
23,91472,22,91460,91493,left,1,90746,95300,24
24,91505,23,91494,91527,left,1,90746,95300,24
25,91538,24,91528,91561,left,1,90746,95300,24
26,91571,25,91562,91595,left,1,90746,95300,24
27,91604,26,91596,91629,left,1,90746,95300,24
28,91637,27,91630,91663,left,1,90746,95300,24
29,91670,28,91664,91697,right,1,90746,95300,24
30,91703,29,91698,91731,right,1,90746,95300,24
31,91736,30,91732,91765,right,1,90746,95300,24
32,91769,31,91766,91799,right,1,90746,95300,24
33,91802,32,91800,91833,right,1,90746,95300,24
34,91835,33,91834,91867,right,1,90746,95300,24
35,91868,34,91868,91901,right,1,90746,95300,24
36,91901,34,91868,91901,right,1,90746,95300,24
37,91934,35,91902,91935,right,1,90746,95300,24
38,91967,36,91936,91969,right,1,90746,95300,24
39,92000,37,91970,92003,right,1,90746,95300,24
40,92033,38,92004,92037,left,1,90746,95300,24
41,92066,39,92038,92071,right,1,90746,95300,24
42,92099,40,92072,92105,right,1,90746,95300,24
43,92132,41,92106,92139,right,1,90746,95300,24
44,92165,42,92140,92173,right,1,90746,95300,24
45,92198,43,92174,92207,right,1,90746,95300,24
46,92231,44,92208,92241,not looking,1,90746,95300,24
47,92264,45,92242,92275,not looking,1,90746,95300,24
48,92297,46,92276,92309,not looking,1,90746,95300,24
49,92330,47,92310,92343,not looking,1,90746,95300,24
50,92363,48,92344,92377,not looking,1,90746,95300,24
51,92396,49,92378,92411,not looking,1,90746,95300,24
52,92429,50,92412,92445,not looking,1,90746,95300,24
53,92462,51,92446,92479,not looking,1,90746,95300,24
54,92495,52,92480,92513,not looking,1,90746,95300,24
55,92528,53,92514,92547,not looking,1,90746,95300,24
56,92561,54,92548,92581,not looking,1,90746,95300,24
57,92594,55,92582,92615,not looking,1,90746,95300,24
58,92627,56,92616,92649,not looking,1,90746,95300,24
59,92660,57,92650,92683,not looking,1,90746,95300,24
60,92693,58,92684,92717,not looking,1,90746,95300,24
61,92726,59,92718,92751,not looking,1,90746,95300,24
62,92759,60,92752,92785,not looking,1,90746,95300,24
63,92792,61,92786,92819,not looking,1,90746,95300,24
64,92825,62,92820,92853,not looking,1,90746,95300,24
65,92858,63,92854,92887,not looking,1,90746,95300,24
66,92891,64,92888,92921,not looking,1,90746,95300,24
67,92924,65,92922,92955,not looking,1,90746,95300,24
68,92957,66,92956,92989,not looking,1,90746,95300,24
69,92990,67,92990,93023,not looking,1,90746,95300,24
70,93023,67,92990,93023,not looking,1,90746,95300,24
71,93056,68,93024,93057,not looking,1,90746,95300,24
72,93089,69,93058,93091,right,1,90746,95300,24
73,93122,70,93092,93125,right,1,90746,95300,24
74,93155,71,93126,93159,left,1,90746,95300,24
75,93188,72,93160,93193,left,1,90746,95300,24
76,93221,73,93194,93227,left,1,90746,95300,24
