"","time","gaze_pos.ordinal","gaze_pos.onset","gaze_pos.offset","AOI","trials.ordinal","trials.onset","trials.offset","trials.number","trial_duration"
"1",75684,1,75684,75717,"not looking",1,75684,80206,438,4522
"2",75750,2,75718,75751,"left",1,75684,80206,438,4522
"3",75783,3,75752,75785,"left",1,75684,80206,438,4522
"4",75816,4,75786,75819,"left",1,75684,80206,438,4522
"5",75849,5,75820,75853,"left",1,75684,80206,438,4522
"6",75882,6,75854,75887,"left",1,75684,80206,438,4522
"7",75915,7,75888,75921,"left",1,75684,80206,438,4522
"8",75948,8,75922,75955,"left",1,75684,80206,438,4522
"9",75981,9,75956,75989,"left",1,75684,80206,438,4522
"10",76014,10,75990,76023,"left",1,75684,80206,438,4522
"11",76047,11,76024,76057,"left",1,75684,80206,438,4522
"12",76080,12,76058,76091,"left",1,75684,80206,438,4522
"13",76113,13,76092,76125,"left",1,75684,80206,438,4522
"14",76146,14,76126,76159,"left",1,75684,80206,438,4522
"15",76179,15,76160,76193,"not looking",1,75684,80206,438,4522
"16",76212,16,76194,76227,"not looking",1,75684,80206,438,4522
"17",76245,17,76228,76261,"not looking",1,75684,80206,438,4522
"18",76278,18,76262,76295,"not looking",1,75684,80206,438,4522
"19",76311,19,76296,76329,"not looking",1,75684,80206,438,4522
"20",76344,20,76330,76363,"not looking",1,75684,80206,438,4522
"21",76377,21,76364,76397,"not looking",1,75684,80206,438,4522
"22",76410,22,76398,76431,"not looking",1,75684,80206,438,4522
"23",76443,23,76432,76465,"not looking",1,75684,80206,438,4522
"24",76476,24,76466,76499,"not looking",1,75684,80206,438,4522
"25",76509,25,76500,76533,"not looking",1,75684,80206,438,4522
"26",76542,26,76534,76567,"not looking",1,75684,80206,438,4522
"27",76575,27,76568,76601,"not looking",1,75684,80206,438,4522
"28",76608,28,76602,76635,"not looking",1,75684,80206,438,4522
"29",76641,29,76636,76669,"not looking",1,75684,80206,438,4522
"30",76674,30,76670,76703,"not looking",1,75684,80206,438,4522
"31",76707,31,76704,76737,"not looking",1,75684,80206,438,4522
"32",76740,32,76738,76771,"not looking",1,75684,80206,438,4522
"33",76773,33,76772,76805,"not looking",1,75684,80206,438,4522
"34",76806,34,76806,76839,"not looking",1,75684,80206,438,4522
"35",76839,34,76806,76839,"not looking",1,75684,80206,438,4522
"36",76872,35,76840,76873,"not looking",1,75684,80206,438,4522
"37",76905,36,76874,76907,"not looking",1,75684,80206,438,4522
"38",76938,37,76908,76941,"not looking",1,75684,80206,438,4522
"39",76971,38,76942,76975,"not looking",1,75684,80206,438,4522
"40",77004,39,76976,77009,"not looking",1,75684,80206,438,4522
"41",77037,40,77010,77043,"not looking",1,75684,80206,438,4522
"42",77070,41,77044,77077,"not looking",1,75684,80206,438,4522
"43",77103,42,77078,77111,"not looking",1,75684,80206,438,4522
"44",77136,43,77112,77145,"not looking",1,75684,80206,438,4522
"45",77169,44,77146,77179,"not looking",1,75684,80206,438,4522
"46",77202,45,77180,77213,"not looking",1,75684,80206,438,4522
"47",77235,46,77214,77247,"not looking",1,75684,80206,438,4522
"48",77268,47,77248,77281,"not looking",1,75684,80206,438,4522
"49",77301,48,77282,77315,"not looking",1,75684,80206,438,4522
"50",77334,49,77316,77349,"not looking",1,75684,80206,438,4522
"51",77367,50,77350,77383,"not looking",1,75684,80206,438,4522
"52",77400,51,77384,77417,"not looking",1,75684,80206,438,4522
"53",77433,52,77418,77451,"not looking",1,75684,80206,438,4522
"54",77466,53,77452,77485,"not looking",1,75684,80206,438,4522
"55",77499,54,77486,77519,"not looking",1,75684,80206,438,4522
"56",77532,55,77520,77553,"not looking",1,75684,80206,438,4522
"57",77565,56,77554,77587,"not looking",1,75684,80206,438,4522
"58",77598,57,77588,77621,"not looking",1,75684,80206,438,4522
"59",77631,58,77622,77655,"not looking",1,75684,80206,438,4522
"60",77664,59,77656,77689,"not looking",1,75684,80206,438,4522
"61",77697,60,77690,77723,"not looking",1,75684,80206,438,4522
"62",77730,61,77724,77757,"not looking",1,75684,80206,438,4522
"63",77763,62,77758,77791,"not looking",1,75684,80206,438,4522
"64",77796,63,77792,77825,"not looking",1,75684,80206,438,4522
"65",77829,64,77826,77859,"not looking",1,75684,80206,438,4522
"66",77862,65,77860,77893,"not looking",1,75684,80206,438,4522
"67",77895,66,77894,77927,"not looking",1,75684,80206,438,4522
"68",77928,67,77928,77961,"not looking",1,75684,80206,438,4522
"69",77961,67,77928,77961,"not looking",1,75684,80206,438,4522
"70",77994,68,77962,77995,"not looking",1,75684,80206,438,4522
"71",78027,69,77996,78029,"not looking",1,75684,80206,438,4522
"72",78060,70,78030,78063,"not looking",1,75684,80206,438,4522
"73",78093,71,78064,78097,"not looking",1,75684,80206,438,4522
"74",78126,72,78098,78131,"not looking",1,75684,80206,438,4522
"75",78159,73,78132,78165,"not looking",1,75684,80206,438,4522
"76",78192,74,78166,78199,"not looking",1,75684,80206,438,4522
"77",78225,75,78200,78233,"not looking",1,75684,80206,438,4522
"78",78258,76,78234,78267,"not looking",1,75684,80206,438,4522
"79",78291,77,78268,78301,"not looking",1,75684,80206,438,4522
"80",78324,78,78302,78335,"not looking",1,75684,80206,438,4522
"81",78357,79,78336,78369,"not looking",1,75684,80206,438,4522
"82",78390,80,78370,78403,"not looking",1,75684,80206,438,4522
"83",78423,81,78404,78437,"not looking",1,75684,80206,438,4522
