time,gaze_pos.ordinal,gaze_pos.onset,gaze_pos.offset,AOI,trials.ordinal,trials.onset,trials.offset,trials.number
75684,1,75684,75717,not looking,1,75684,80206,438
75750,2,75718,75751,left,1,75684,80206,438
75783,3,75752,75785,left,1,75684,80206,438
75816,4,75786,75819,left,1,75684,80206,438
75849,5,75820,75853,left,1,75684,80206,438
75882,6,75854,75887,left,1,75684,80206,438
75915,7,75888,75921,left,1,75684,80206,438
75948,8,75922,75955,left,1,75684,80206,438
75981,9,75956,75989,left,1,75684,80206,438
76014,10,75990,76023,left,1,75684,80206,438
76047,11,76024,76057,left,1,75684,80206,438
76080,12,76058,76091,left,1,75684,80206,438
76113,13,76092,76125,left,1,75684,80206,438
76146,14,76126,76159,left,1,75684,80206,438
76179,15,76160,76193,not looking,1,75684,80206,438
76212,16,76194,76227,not looking,1,75684,80206,438
76245,17,76228,76261,not looking,1,75684,80206,438
76278,18,76262,76295,not looking,1,75684,80206,438
76311,19,76296,76329,not looking,1,75684,80206,438
76344,20,76330,76363,not looking,1,75684,80206,438
76377,21,76364,76397,not looking,1,75684,80206,438
76410,22,76398,76431,not looking,1,75684,80206,438
76443,23,76432,76465,not looking,1,75684,80206,438
76476,24,76466,76499,not looking,1,75684,80206,438
76509,25,76500,76533,not looking,1,75684,80206,438
76542,26,76534,76567,not looking,1,75684,80206,438
76575,27,76568,76601,not looking,1,75684,80206,438
76608,28,76602,76635,not looking,1,75684,80206,438
76641,29,76636,76669,not looking,1,75684,80206,438
76674,30,76670,76703,not looking,1,75684,80206,438
76707,31,76704,76737,not looking,1,75684,80206,438
76740,32,76738,76771,not looking,1,75684,80206,438
76773,33,76772,76805,not looking,1,75684,80206,438
76806,34,76806,76839,not looking,1,75684,80206,438
76839,34,76806,76839,not looking,1,75684,80206,438
76872,35,76840,76873,not looking,1,75684,80206,438
76905,36,76874,76907,not looking,1,75684,80206,438
76938,37,76908,76941,not looking,1,75684,80206,438
76971,38,76942,76975,not looking,1,75684,80206,438
77004,39,76976,77009,not looking,1,75684,80206,438
77037,40,77010,77043,not looking,1,75684,80206,438
77070,41,77044,77077,not looking,1,75684,80206,438
77103,42,77078,77111,not looking,1,75684,80206,438
77136,43,77112,77145,not looking,1,75684,80206,438
77169,44,77146,77179,not looking,1,75684,80206,438
77202,45,77180,77213,not looking,1,75684,80206,438
77235,46,77214,77247,not looking,1,75684,80206,438
77268,47,77248,77281,not looking,1,75684,80206,438
77301,48,77282,77315,not looking,1,75684,80206,438
77334,49,77316,77349,not looking,1,75684,80206,438
77367,50,77350,77383,not looking,1,75684,80206,438
77400,51,77384,77417,not looking,1,75684,80206,438
77433,52,77418,77451,not looking,1,75684,80206,438
77466,53,77452,77485,not looking,1,75684,80206,438
77499,54,77486,77519,not looking,1,75684,80206,438
77532,55,77520,77553,not looking,1,75684,80206,438
77565,56,77554,77587,not looking,1,75684,80206,438
77598,57,77588,77621,not looking,1,75684,80206,438
77631,58,77622,77655,not looking,1,75684,80206,438
77664,59,77656,77689,not looking,1,75684,80206,438
77697,60,77690,77723,not looking,1,75684,80206,438
77730,61,77724,77757,not looking,1,75684,80206,438
77763,62,77758,77791,not looking,1,75684,80206,438
77796,63,77792,77825,not looking,1,75684,80206,438
77829,64,77826,77859,not looking,1,75684,80206,438
77862,65,77860,77893,not looking,1,75684,80206,438
77895,66,77894,77927,not looking,1,75684,80206,438
77928,67,77928,77961,not looking,1,75684,80206,438
77961,67,77928,77961,not looking,1,75684,80206,438
77994,68,77962,77995,not looking,1,75684,80206,438
78027,69,77996,78029,not looking,1,75684,80206,438
78060,70,78030,78063,not looking,1,75684,80206,438
78093,71,78064,78097,not looking,1,75684,80206,438
78126,72,78098,78131,not looking,1,75684,80206,438
78159,73,78132,78165,not looking,1,75684,80206,438
78192,74,78166,78199,not looking,1,75684,80206,438
78225,75,78200,78233,not looking,1,75684,80206,438
78258,76,78234,78267,not looking,1,75684,80206,438
78291,77,78268,78301,not looking,1,75684,80206,438
78324,78,78302,78335,not looking,1,75684,80206,438
78357,79,78336,78369,not looking,1,75684,80206,438
78390,80,78370,78403,not looking,1,75684,80206,438
78423,81,78404,78437,not looking,1,75684,80206,438
78456,82,78438,78471,not looking,1,75684,80206,438
78489,83,78472,78505,not looking,1,75684,80206,438
78522,84,78506,78539,not looking,1,75684,80206,438
78555,85,78540,78573,not looking,1,75684,80206,438
78588,86,78574,78607,not looking,1,75684,80206,438
78621,87,78608,78641,not looking,1,75684,80206,438
78654,88,78642,78675,not looking,1,75684,80206,438
78687,89,78676,78709,not looking,1,75684,80206,438
78720,90,78710,78743,not looking,1,75684,80206,438
78753,91,78744,78777,not looking,1,75684,80206,438
78786,92,78778,78811,not looking,1,75684,80206,438
78819,93,78812,78845,not looking,1,75684,80206,438
78852,94,78846,78879,not looking,1,75684,80206,438
78885,95,78880,78913,not looking,1,75684,80206,438
78918,96,78914,78947,not looking,1,75684,80206,438
78951,97,78948,78981,not looking,1,75684,80206,438
78984,98,78982,79015,not looking,1,75684,80206,438
79017,99,79016,79049,not looking,1,75684,80206,438
79050,100,79050,79083,not looking,1,75684,80206,438
79083,100,79050,79083,not looking,1,75684,80206,438
79116,101,79084,79117,not looking,1,75684,80206,438
79149,102,79118,79151,not looking,1,75684,80206,438
79182,103,79152,79185,not looking,1,75684,80206,438
79215,104,79186,79219,not looking,1,75684,80206,438
79248,105,79220,79253,not looking,1,75684,80206,438
79281,106,79254,79287,not looking,1,75684,80206,438
79314,107,79288,79321,not looking,1,75684,80206,438
79347,108,79322,79355,not looking,1,75684,80206,438
79380,109,79356,79389,not looking,1,75684,80206,438
79413,110,79390,79423,not looking,1,75684,80206,438
79446,111,79424,79457,not looking,1,75684,80206,438
79479,112,79458,79491,not looking,1,75684,80206,438
79512,113,79492,79525,not looking,1,75684,80206,438
79545,114,79526,79559,not looking,1,75684,80206,438
79578,115,79560,79593,not looking,1,75684,80206,438
79611,116,79594,79627,not looking,1,75684,80206,438
79644,117,79628,79661,not looking,1,75684,80206,438
79677,118,79662,79695,not looking,1,75684,80206,438
79710,119,79696,79729,not looking,1,75684,80206,438
79743,120,79730,79763,not looking,1,75684,80206,438
79776,121,79764,79797,not looking,1,75684,80206,438
79809,122,79798,79831,not looking,1,75684,80206,438
79842,123,79832,79865,not looking,1,75684,80206,438
79875,124,79866,79899,not looking,1,75684,80206,438
79908,125,79900,79933,not looking,1,75684,80206,438
79941,126,79934,79967,not looking,1,75684,80206,438
79974,127,79968,80001,not looking,1,75684,80206,438
80007,128,80002,80035,not looking,1,75684,80206,438
80040,129,80036,80069,not looking,1,75684,80206,438
80073,130,80070,80103,not looking,1,75684,80206,438
80106,131,80104,80137,not looking,1,75684,80206,438
80139,132,80138,80171,not looking,1,75684,80206,438
80172,133,80172,80205,not looking,1,75684,80206,438
80205,133,80172,80205,not looking,1,75684,80206,438
91722,134,91698,91731,not looking,2,91698,96220,836
91755,135,91732,91765,not looking,2,91698,96220,836
91788,136,91766,91799,not looking,2,91698,96220,836
91821,137,91800,91833,not looking,2,91698,96220,836
91854,138,91834,91867,not looking,2,91698,96220,836
91887,139,91868,91901,not looking,2,91698,96220,836
91920,140,91902,91935,not looking,2,91698,96220,836
91953,141,91936,91969,not looking,2,91698,96220,836
91986,142,91970,92003,not looking,2,91698,96220,836
92019,143,92004,92037,not looking,2,91698,96220,836
92052,144,92038,92071,not looking,2,91698,96220,836
92085,145,92072,92105,not looking,2,91698,96220,836
92118,146,92106,92139,not looking,2,91698,96220,836
92151,147,92140,92173,not looking,2,91698,96220,836
