"","nFrame","time","gaze_pos.ordinal","gaze_pos.onset","gaze_pos.offset","AOI","trials.ordinal","trials.onset","trials.offset","trials.number","trial_duration"
"1",1,49830,1,49830,49862,"not looking",1,49830,54318,629,4488
"2",2,49863,2,49863,49895,"not looking",1,49830,54318,629,4488
"3",3,49896,3,49896,49928,"not looking",1,49830,54318,629,4488
"4",4,49929,4,49929,49961,"not looking",1,49830,54318,629,4488
"5",5,49962,5,49962,49994,"not looking",1,49830,54318,629,4488
"6",6,49995,6,49995,50027,"not looking",1,49830,54318,629,4488
"7",7,50028,7,50028,50060,"not looking",1,49830,54318,629,4488
"8",8,50061,8,50061,50093,"not looking",1,49830,54318,629,4488
"9",9,50094,9,50094,50126,"not looking",1,49830,54318,629,4488
"10",10,50127,10,50127,50159,"not looking",1,49830,54318,629,4488
"11",11,50160,11,50160,50192,"not looking",1,49830,54318,629,4488
"12",12,50193,12,50193,50225,"not looking",1,49830,54318,629,4488
"13",13,50226,13,50226,50258,"not looking",1,49830,54318,629,4488
"14",14,50259,14,50259,50291,"not looking",1,49830,54318,629,4488
"15",15,50292,15,50292,50324,"left",1,49830,54318,629,4488
"16",16,50325,16,50325,50357,"not looking",1,49830,54318,629,4488
"17",17,50358,17,50358,50390,"left",1,49830,54318,629,4488
"18",18,50391,18,50391,50423,"left",1,49830,54318,629,4488
"19",19,50424,19,50424,50456,"left",1,49830,54318,629,4488
"20",20,50457,20,50457,50489,"left",1,49830,54318,629,4488
"21",21,50490,21,50490,50522,"left",1,49830,54318,629,4488
"22",22,50523,22,50523,50555,"left",1,49830,54318,629,4488
"23",23,50556,23,50556,50588,"left",1,49830,54318,629,4488
"24",24,50589,24,50589,50621,"left",1,49830,54318,629,4488
"25",25,50622,25,50622,50654,"left",1,49830,54318,629,4488
"26",26,50655,26,50655,50687,"left",1,49830,54318,629,4488
"27",27,50688,27,50688,50720,"left",1,49830,54318,629,4488
"28",28,50721,28,50721,50753,"left",1,49830,54318,629,4488
"29",29,50754,29,50754,50786,"left",1,49830,54318,629,4488
"30",30,50787,30,50787,50819,"left",1,49830,54318,629,4488
"31",31,50820,31,50820,50852,"left",1,49830,54318,629,4488
"32",32,50853,32,50853,50885,"left",1,49830,54318,629,4488
"33",33,50886,33,50886,50918,"left",1,49830,54318,629,4488
"34",34,50919,34,50919,50951,"left",1,49830,54318,629,4488
"35",35,50952,35,50952,50984,"left",1,49830,54318,629,4488
"36",36,50985,36,50985,51017,"left",1,49830,54318,629,4488
"37",37,51018,37,51018,51050,"left",1,49830,54318,629,4488
"38",38,51051,38,51051,51083,"left",1,49830,54318,629,4488
