"","X","framenum","time","gaze_pos.ordinal","gaze_pos.onset","gaze_pos.offset","AOI","trials.ordinal","trials.onset","trials.offset","trials.number","trial_duration","word_onset","word_offset","word","Adjusted_Word_Onset","Adjusted_Word_Offset","Label_Position","Individual_Gaze_Durations","Adjusted_Gaze_Start","Adjusted_Gaze_End"
"1",1,8,100531,1,100504,100537,"right",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,204,237
"2",2,9,100564,2,100538,100571,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,238,271
"3",3,10,100597,3,100572,100605,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,272,305
"4",4,11,100630,4,100606,100639,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,306,339
"5",5,12,100663,5,100640,100673,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,340,373
"6",6,13,100696,6,100674,100707,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,374,407
"7",7,14,100729,7,100708,100741,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,408,441
"8",8,15,100762,8,100742,100775,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,442,475
"9",9,16,100795,9,100776,100809,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,476,509
"10",10,17,100828,10,100810,100843,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,510,543
"11",11,18,100861,11,100844,100877,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,544,577
"12",12,19,100894,12,100878,100911,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,578,611
"13",13,20,100927,13,100912,100945,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,612,645
"14",14,21,100960,14,100946,100979,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,646,679
"15",15,22,100993,15,100980,101013,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,680,713
"16",16,23,101026,16,101014,101047,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,714,747
"17",17,24,101059,17,101048,101081,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,748,781
"18",18,25,101092,18,101082,101115,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,782,815
"19",19,26,101125,19,101116,101149,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,816,849
"20",20,27,101158,20,101150,101183,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,850,883
"21",21,28,101191,21,101184,101217,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,884,917
"22",22,29,101224,22,101218,101251,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,918,951
"23",23,30,101257,23,101252,101285,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,952,985
"24",24,31,101290,24,101286,101319,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,986,1019
"25",25,32,101323,25,101320,101353,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,1020,1053
"26",26,33,101356,26,101354,101387,"left",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,1054,1087
"27",27,34,101389,27,101388,101421,"inbetween",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,1088,1121
"28",28,35,101422,28,101422,101455,"right",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,1122,1155
"29",29,36,101455,28,101422,101455,"right",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,1122,1155
"30",30,37,101488,29,101456,101489,"right",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,1156,1189
"31",31,38,101521,30,101490,101523,"right",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,1190,1223
"32",32,39,101554,31,101524,101557,"right",1,100300,104890,52,4590,NA,NA,NA,NA,NA,NA,33,1224,1257
