wordOnset,wordOffset,word,number
527.154544,527.783751,ninety,93
527.783751,528.291794,three,93
509.568626,510.139376,twenty,24
510.139376,510.647418,four,24
490.112091,490.630762,nine,941
490.630762,490.998508,hundred,941
490.998508,491.160061,and,941
491.160061,491.712743,fourty,941
491.712743,492.176146,one,941
474.38616,475.094018,sixty,67
475.094018,475.765739,seven,67
459.070489,459.899512,seventy,75
459.899512,460.441566,five,75
442.042567,442.616506,six,629
442.616506,442.988503,hundred,629
442.988503,443.172377,and,629
443.172377,443.653848,twenty,629
443.653848,444.122565,nine,629
418.237912,418.437728,eight,836
418.437728,418.907508,hundred,836
418.907508,419.04993,and,836
419.04993,419.559035,thirty,836
419.559035,420.365738,six,836
403.068915,403.478112,one,182
403.478112,403.924509,hundred,182
403.924509,404.082874,and,182
404.082874,404.488882,eighty,182
404.488882,404.977794,two,182
385.76784,386.304579,thirty,37
386.304579,386.881707,seven,37
369.901613,370.250759,two,275
370.250759,370.700345,hundred,275
370.700345,370.824698,and,275
370.824698,371.452311,seventy,275
371.452311,372.095335,five,275
352.917267,353.359413,three,368
353.359413,353.80581,hundred,368
353.80581,353.88765,and,368
353.88765,354.542365,sixty,368
354.542365,354.848466,eight,368
338.124519,338.505551,thirty,36
338.505551,339.314911,six,36
314.616399,315.243481,seven,745
315.243481,315.584124,hundred,745
315.584124,315.853557,and,745
315.853557,316.282948,fourty,745
316.282948,316.768671,five,745
297.407261,298.198553,sixty,69
298.198553,298.853269,nine,69
281.578765,281.985837,five,574
281.985837,282.3302,hundred,574
282.3302,282.524702,and,574
282.524702,283.093327,seventy,574
283.093327,283.634317,four,574
262.719552,263.231846,five,596
263.231846,263.670803,hundred,596
263.670803,263.834482,and,596
263.834482,264.214982,ninety,596
264.214982,264.622054,six,596
242.879328,243.419256,four,492
243.419256,243.794442,hundred,492
243.794442,244.048463,and,492
244.048463,244.5023,ninety,492
244.5023,244.968892,two,492
226.262729,226.875993,fourty,48
226.875993,227.240551,eight,48
198.708339,199.246141,eighty,84
199.246141,199.655338,four,84
178.934012,179.402729,four,438
179.402729,179.851251,hundred,438
179.851251,180.127592,and,438
180.127592,180.537853,thirty,438
180.537853,180.848205,eight,438
158.799378,159.285101,eighty,89
159.285101,159.755944,nine,89
138.876252,139.154719,one,153
139.154719,139.693584,hundred,153
139.693584,139.995434,and,153
139.995434,140.399317,fifty,153
140.399317,140.959439,three,153
119.759829,120.257243,twenty,27
120.257243,120.973604,seven,27
101.758336,102.227053,fifty,52
102.288699,102.741473,two,52
