framenum,time,gaze_pos.ordinal,gaze_pos.onset,gaze_pos.offset,AOI,trials.ordinal,trials.onset,trials.offset,trials.number
1,100300,,,,,1,100300,104890,52
2,100333,,,,,1,100300,104890,52
3,100366,,,,,1,100300,104890,52
4,100399,,,,,1,100300,104890,52
5,100432,,,,,1,100300,104890,52
6,100465,,,,,1,100300,104890,52
7,100498,,,,,1,100300,104890,52
8,100531,1,100504,100537,r,1,100300,104890,52
9,100564,2,100538,100571,l,1,100300,104890,52
10,100597,3,100572,100605,l,1,100300,104890,52
11,100630,4,100606,100639,l,1,100300,104890,52
12,100663,5,100640,100673,l,1,100300,104890,52
13,100696,6,100674,100707,l,1,100300,104890,52
14,100729,7,100708,100741,l,1,100300,104890,52
15,100762,8,100742,100775,l,1,100300,104890,52
16,100795,9,100776,100809,l,1,100300,104890,52
17,100828,10,100810,100843,l,1,100300,104890,52
18,100861,11,100844,100877,l,1,100300,104890,52
19,100894,12,100878,100911,l,1,100300,104890,52
20,100927,13,100912,100945,l,1,100300,104890,52
21,100960,14,100946,100979,l,1,100300,104890,52
22,100993,15,100980,101013,l,1,100300,104890,52
23,101026,16,101014,101047,l,1,100300,104890,52
24,101059,17,101048,101081,l,1,100300,104890,52
25,101092,18,101082,101115,l,1,100300,104890,52
26,101125,19,101116,101149,l,1,100300,104890,52
27,101158,20,101150,101183,l,1,100300,104890,52
28,101191,21,101184,101217,l,1,100300,104890,52
29,101224,22,101218,101251,l,1,100300,104890,52
30,101257,23,101252,101285,l,1,100300,104890,52
31,101290,24,101286,101319,l,1,100300,104890,52
32,101323,25,101320,101353,l,1,100300,104890,52
33,101356,26,101354,101387,l,1,100300,104890,52
34,101389,27,101388,101421,i,1,100300,104890,52
35,101422,28,101422,101455,r,1,100300,104890,52
36,101455,28,101422,101455,r,1,100300,104890,52
37,101488,29,101456,101489,r,1,100300,104890,52
38,101521,30,101490,101523,r,1,100300,104890,52
39,101554,31,101524,101557,r,1,100300,104890,52
40,101587,32,101558,101591,r,1,100300,104890,52
41,101620,33,101592,101625,r,1,100300,104890,52
42,101653,34,101626,101659,r,1,100300,104890,52
43,101686,35,101660,101693,r,1,100300,104890,52
44,101719,36,101694,101727,r,1,100300,104890,52
45,101752,37,101728,101761,r,1,100300,104890,52
46,101785,38,101762,101795,r,1,100300,104890,52
47,101818,39,101796,101829,r,1,100300,104890,52
48,101851,40,101830,101863,n,1,100300,104890,52
49,101884,41,101864,101897,n,1,100300,104890,52
50,101917,42,101898,101931,n,1,100300,104890,52
51,101950,43,101932,101965,n,1,100300,104890,52
52,101983,44,101966,101999,n,1,100300,104890,52
53,102016,45,102000,102033,n,1,100300,104890,52
54,102049,46,102034,102067,n,1,100300,104890,52
55,102082,47,102068,102101,n,1,100300,104890,52
56,102115,48,102102,102135,n,1,100300,104890,52
57,102148,49,102136,102169,n,1,100300,104890,52
58,102181,50,102170,102203,n,1,100300,104890,52
59,102214,51,102204,102237,n,1,100300,104890,52
60,102247,52,102238,102271,n,1,100300,104890,52
61,102280,53,102272,102305,n,1,100300,104890,52
62,102313,54,102306,102339,n,1,100300,104890,52
63,102346,55,102340,102373,n,1,100300,104890,52
64,102379,56,102374,102407,n,1,100300,104890,52
