wordOnset,wordOffset,word
527.154544,527.783751,ninety
527.783751,528.291794,three
509.568626,510.139376,twenty
510.139376,510.647418,four
490.112091,490.630762,nine
490.630762,490.998508,hundred
490.998508,491.160061,and
491.160061,491.712743,fourty
491.712743,492.176146,one
474.38616,475.094018,sixty
475.094018,475.765739,seven
459.070489,459.899512,seventy
459.899512,460.441566,five
442.042567,442.616506,six
442.616506,442.988503,hundred
442.988503,443.172377,and
443.172377,443.653848,twenty
443.653848,444.122565,nine
418.237912,418.437728,eight
418.437728,418.907508,hundred
418.907508,419.04993,and
419.04993,419.559035,thirty
419.559035,420.365738,six
403.068915,403.478112,one
403.478112,403.924509,hundred
403.924509,404.082874,and
404.082874,404.488882,eighty
404.488882,404.977794,two
385.76784,386.304579,thirty
386.304579,386.881707,seven
369.901613,370.250759,two
370.250759,370.700345,hundred
370.700345,370.824698,and
370.824698,371.452311,seventy
371.452311,372.095335,five
352.917267,353.359413,three
353.359413,353.80581,hundred
353.80581,353.88765,and
353.88765,354.542365,sixty
354.542365,354.848466,eight
338.124519,338.505551,thirty
338.505551,339.314911,six
314.616399,315.243481,seven
315.243481,315.584124,hundred
315.584124,315.853557,and
315.853557,316.282948,fourty
316.282948,316.768671,five
297.407261,298.198553,sixty
298.198553,298.853269,nine
281.578765,281.985837,five
281.985837,282.3302,hundred
282.3302,282.524702,and
282.524702,283.093327,seventy
283.093327,283.634317,four
262.719552,263.231846,five
263.231846,263.670803,hundred
263.670803,263.834482,and
263.834482,264.214982,ninety
264.214982,264.622054,six
242.879328,243.419256,four
243.419256,243.794442,hundred
243.794442,244.048463,and
244.048463,244.5023,ninety
244.5023,244.968892,two
226.262729,226.875993,fourty
226.875993,227.240551,eight
198.708339,199.246141,eighty
199.246141,199.655338,four
178.934012,179.402729,four
179.402729,179.851251,hundred
179.851251,180.127592,and
180.127592,180.537853,thirty
180.537853,180.848205,eight
158.799378,159.285101,eighty
159.285101,159.755944,nine
138.876252,139.154719,one
139.154719,139.693584,hundred
139.693584,139.995434,and
139.995434,140.399317,fifty
140.399317,140.959439,three
119.759829,120.257243,twenty
120.257243,120.973604,seven
101.758336,102.227053,fifty
102.288699,102.741473,two
