Gaze_position_during_number_pres.ordinal,Gaze_position_during_number_pres.onset,Gaze_position_during_number_pres.offset,Gaze_position_during_number_pres.l/m/r/i/n,
0,85866,85898,"l",
1,85899,85931,"l",
2,85932,85964,"l",
3,85965,85997,"l",
4,85998,86030,"l",
5,86031,86063,"l",
6,86064,86096,"l",
7,86097,86129,"l",
8,86130,86162,"l",
9,86163,86195,"l",
10,86196,86228,"l",
11,86229,86261,"l",
12,86262,86294,"l",
13,86295,86327,"l",
14,86328,86360,"l",
15,86361,86393,"l",
16,86394,86426,"l",
17,86427,86459,"l",
18,86460,86492,"l",
19,86493,86525,"l",
20,86526,86558,"l",
21,86559,86591,"l",
22,86592,86624,"l",
23,86625,86657,"l",
24,86658,86690,"l",
25,86691,86723,"l",
26,86724,86756,"l",
27,86757,86789,"l",
28,86790,86822,"l",
29,86823,86855,"l",
30,86856,86888,"l",
31,86889,86921,"l",
32,86922,86954,"l",
33,86955,86987,"l",
34,86988,87020,"l",
35,87021,87053,"l",
36,87054,87086,"l",
37,87087,87119,"l",
38,87120,87152,"l",
39,87153,87185,"l",
40,87186,87218,"l",
41,87219,87251,"l",
42,87252,87284,"l",
43,87285,87317,"l",
44,87318,87350,"n",
45,87351,87383,"n",
46,87384,87416,"n",
47,87417,87449,"n",
48,87450,87482,"n",
49,87483,87515,"n",
50,87516,87548,"l",
51,87549,87581,"l",
52,87582,87614,"l",
53,87615,87647,"l",
54,87648,87680,"l",
55,87681,87713,"l",
56,87714,87746,"l",
57,87747,87779,"l",
58,87780,87812,"l",
59,87813,87845,"l",
60,87846,87878,"l",
61,87879,87911,"l",
62,87912,87944,"l",
63,87945,87977,"l",
64,87978,88010,"l",
65,88011,88043,"l",
66,88044,88076,"l",
67,88077,88109,"l",
68,88110,88142,"l",
69,88143,88175,"l",
70,88176,88208,"l",
71,88209,88241,"l",
72,88242,88274,"l",
73,88275,88307,"l",
74,88308,88340,"l",
75,88341,88373,"l",
76,88374,88406,"l",
77,88407,88439,"l",
78,88440,88472,"l",
79,88473,88505,"l",
80,88506,88538,"l",
81,88539,88571,"l",
82,88572,88604,"l",
83,88605,88637,"l",
84,88638,88670,"l",
85,88671,88703,"l",
86,88704,88736,"l",
87,88737,88769,"l",
88,88770,88802,"l",
89,88803,88835,"l",
90,88836,88868,"l",
91,88869,88901,"l",
92,88902,88934,"l",
93,88935,88967,"l",
94,88968,89000,"l",
95,89001,89033,"l",
96,89034,89066,"l",
97,89067,89099,"l",
98,89100,89132,"l",
99,89133,89165,"l",
100,89166,89198,"l",
101,89199,89231,"l",
102,89232,89264,"l",
103,89265,89297,"l",
104,89298,89330,"l",
105,89331,89363,"l",
106,89364,89396,"l",
107,89397,89429,"l",
108,89430,89462,"l",
109,89463,89495,"l",
110,89496,89528,"l",
111,89529,89561,"l",
112,89562,89594,"l",
113,89595,89627,"l",
114,89628,89660,"l",
115,89661,89693,"l",
116,89694,89726,"l",
117,89727,89759,"l",
118,89760,89792,"l",
119,89793,89825,"l",
120,89826,89858,"r",
121,89859,89891,"r",
122,89892,89924,"r",
123,89925,89957,"r",
124,89958,89990,"r",
125,89991,90023,"r",
126,90024,90056,"r",
127,90057,90089,"r",
128,90090,90122,"r",
129,90123,90155,"r",
130,90156,90188,"r",
131,90189,105566,"r",
132,105567,105599,"r",
133,105600,105632,"l",
134,105633,105665,"l",
135,105666,105698,"l",
136,105699,105731,"l",
137,105732,105764,"l",
138,105765,105797,"l",
139,105798,105830,"l",
140,105831,105863,"l",
141,105864,105896,"l",
142,105897,105929,"l",
143,105930,105962,"l",
144,105963,105995,"l",
145,105996,106028,"l",
146,106029,106061,"l",
147,106062,106094,"l",
148,106095,106127,"l",
149,106128,106160,"l",
150,106161,106193,"l",
151,106194,106226,"l",
152,106227,106259,"l",
153,106260,106292,"l",
154,106293,106325,"l",
155,106326,106358,"l",
156,106359,106391,"l",
157,106392,106424,"l",
158,106425,106457,"l",
159,106458,106490,"l",
160,106491,106523,"l",
161,106524,106556,"l",
162,106557,106589,"l",
163,106590,106622,"l",
164,106623,106655,"l",
165,106656,106688,"l",
166,106689,106721,"l",
167,106722,106754,"l",
168,106755,106787,"l",
169,106788,106820,"l",
170,106821,106853,"l",
171,106854,106886,"l",
172,106887,106919,"l",
173,106920,106952,"l",
174,106953,106985,"l",
175,106986,107018,"l",
176,107019,107051,"l",
177,107052,107084,"l",
178,107085,107117,"l",
179,107118,107150,"l",
180,107151,107183,"l",
181,107184,107216,"l",
182,107217,107249,"l",
183,107250,107282,"l",
184,107283,107315,"l",
185,107316,107348,"l",
186,107349,107381,"l",
187,107382,107414,"l",
188,107415,107447,"l",
189,107448,107480,"l",
190,107481,107513,"l",
191,107514,107546,"l",
192,107547,107579,"l",
193,107580,107612,"l",
194,107613,107645,"l",
195,107646,107678,"l",
196,107679,107711,"l",
197,107712,107744,"l",
198,107745,107777,"l",
199,107778,107810,"l",
200,107811,107843,"l",
201,107844,107876,"l",
202,107877,107909,"l",
203,107910,107942,"l",
204,107943,107975,"l",
205,107976,108008,"l",
206,108009,108041,"l",
207,108042,108074,"l",
208,108075,108107,"l",
209,108108,108140,"l",
210,108141,108173,"l",
211,108174,108206,"l",
212,108207,108239,"l",
213,108240,108272,"l",
214,108273,108305,"l",
215,108306,108338,"l",
216,108339,108371,"l",
217,108372,108404,"l",
218,108405,108437,"l",
219,108438,108470,"l",
220,108471,108503,"l",
221,108504,108536,"l",
222,108537,108569,"l",
223,108570,108602,"l",
224,108603,108635,"l",
225,108636,108668,"l",
226,108669,121835,"l",
227,121836,121868,"l",
228,121869,121901,"m",
229,121902,121934,"m",
230,121935,121967,"m",
231,121968,122000,"m",
232,122001,122033,"m",
233,122034,122066,"i",
234,122067,122099,"i",
235,122100,122132,"i",
236,122133,122165,"i",
237,122166,122198,"l",
238,122199,122231,"l",
239,122232,122264,"l",
240,122265,122297,"l",
241,122298,122330,"l",
242,122331,122363,"l",
243,122364,122396,"l",
244,122397,122429,"l",
245,122430,122462,"l",
246,122463,122495,"l",
247,122496,122528,"l",
248,122529,122561,"l",
249,122562,122594,"l",
250,122595,122627,"l",
251,122628,122660,"l",
252,122661,122693,"l",
253,122694,122726,"l",
254,122727,122759,"l",
255,122760,122792,"l",
256,122793,122825,"l",
257,122826,122858,"l",
258,122859,122891,"l",
259,122892,122924,"n",
260,122925,122957,"n",
261,122958,122990,"n",
262,122991,123023,"n",
263,123024,123056,"n",
264,123057,123089,"n",
265,123090,123122,"n",
266,123123,123155,"n",
267,123156,123188,"n",
268,123189,123221,"n",
269,123222,123254,"n",
270,123255,123287,"n",
271,123288,123320,"n",
272,123321,123353,"n",
273,123354,123386,"n",
274,123387,123419,"n",
275,123420,123452,"n",
276,123453,123485,"n",
277,123486,123518,"n",
278,123519,123551,"n",
279,123552,123584,"n",
280,123585,123617,"n",
281,123618,123650,"n",
282,123651,123683,"n",
283,123684,123716,"n",
284,123717,123749,"n",
285,123750,123782,"n",
286,123783,123815,"n",
287,123816,123848,"n",
288,123849,123881,"n",
