AOI_lable,trialNumber,word,gazeEventDuration,firstOnsetTime,lastOffsetTime
inBetween,3,NA,224,122034,125696
inBetween,4,number,192,143022,143219
inBetween,5,number,32,160809,160841
inBetween,5,NA,32,160116,160148
inBetween,6,NA,160,177375,177539
inBetween,7,number,96,197934,198131
inBetween,7,NA,64,199188,199253
inBetween,9,number,32,234333,234365
inBetween,9,NA,416,231660,232088
inBetween,10,NA,96,246147,250073
inBetween,11,NA,96,262350,262514
inBetween,12,NA,256,288024,288287
inBetween,13,NA,32,308286,308318
inBetween,14,Look,32,324423,324455
inBetween,14,here,64,325446,325511
inBetween,14,is,64,325512,325577
inBetween,14,NA,224,324192,324422
inBetween,15,Look,64,339339,339404
inBetween,15,number,128,340131,340262
inBetween,15,this,32,339603,339635
inBetween,15,NA,256,339537,340922
inBetween,16,NA,160,358677,358907
inBetween,17,new,96,370755,370853
inBetween,17,NA,64,371811,371876
inBetween,22,number,32,456159,456191
inBetween,22,NA,128,457677,457808
inBetween,23,NA,128,470118,472691
inBetween,24,NA,160,486255,486419
left,1,Look,320,86988,87317
left,1,a,96,88143,88241
left,1,here,256,87813,88076
left,1,is,64,88077,88142
left,1,number,448,88308,88769
left,1,NA,2464,85866,89825
left,2,Look,160,105600,105764
left,2,at,96,105765,105863
left,2,new,160,106029,106193
left,2,number,640,106260,106919
left,2,this,96,105930,106028
left,2,NA,1824,105864,108668
left,3,a,96,124113,124211
left,3,here,128,123915,124046
left,3,is,64,124047,124112
left,3,number,448,124278,124739
left,3,NA,2016,121836,126158
left,4,Look,128,142263,142394
left,4,at,96,142395,142493
left,4,new,160,142659,142823
left,4,number,448,142890,143549
left,4,this,96,142560,142658
left,4,NA,2912,140976,145331
left,5,Look,320,159423,159752
left,5,a,96,160578,160676
left,5,here,256,160215,160478
left,5,is,96,160479,160577
left,5,number,192,160743,161204
left,5,NA,2080,158301,162623
left,6,Look,256,174867,175130
left,6,at,96,175131,175229
left,6,number,576,175692,176285
left,6,NA,2240,173745,177374
left,7,new,96,197637,197735
left,7,number,384,197769,198428
left,7,NA,1376,195987,200210
left,8,new,160,216084,216248
left,8,number,160,216282,216446
left,8,this,96,215985,216083
left,8,NA,2080,214434,218756
left,9,Look,128,233112,233243
left,9,a,96,233904,234002
left,9,here,256,233541,233804
left,9,is,96,233805,233903
left,9,number,256,234069,234332
left,9,NA,800,232089,235949
left,10,NA,960,245883,249215
left,11,Look,448,262581,263042
left,11,a,96,263736,263834
left,11,here,256,263373,263636
left,11,is,96,263637,263735
left,11,number,448,263901,264362
left,11,NA,2560,261624,265781
left,12,Look,480,286242,286736
left,12,a,96,287397,287495
left,12,here,256,287067,287330
left,12,is,64,287331,287396
left,12,number,416,287595,288023
left,12,NA,2624,285087,289475
left,13,Look,384,308616,309011
left,13,NA,1216,307626,311849
left,14,Look,448,324456,324917
left,14,a,96,325578,325676
left,14,number,416,325776,326204
left,14,NA,2624,323334,327623
left,15,Look,160,339174,339338
left,15,NA,1472,338085,341351
left,16,Look,288,355773,356069
left,16,at,64,356070,356135
left,16,new,192,356301,356498
left,16,number,640,356532,357191
left,16,this,64,356235,356300
left,16,NA,2528,354816,358742
left,17,Look,128,370161,370358
left,17,at,96,370425,370523
left,17,NA,2240,369105,373394
left,18,Look,448,385869,386330
left,18,a,96,387024,387122
left,18,here,256,386661,386924
left,18,is,96,386925,387023
left,18,number,448,387189,387650
left,18,NA,2624,384747,389069
left,19,Look,288,412335,412631
left,19,at,64,412632,412697
left,19,new,160,412896,413060
left,19,this,96,412797,412895
left,19,NA,2176,411378,415568
left,20,Look,448,425634,426095
left,20,a,64,426789,426854
left,20,here,128,426558,426689
left,20,is,96,426690,426788
left,20,NA,1792,424545,428801
left,21,Look,256,440583,440846
left,21,at,96,440847,440945
left,21,new,160,441111,441275
left,21,number,32,441342,441374
left,21,this,96,441012,441110
left,21,NA,2112,439857,443816
left,22,Look,480,454806,455300
left,22,a,96,455961,456059
left,22,here,256,455631,455894
left,22,is,64,455895,455960
left,22,number,416,456126,456587
left,22,NA,2016,454410,458006
left,23,Look,352,469755,470117
left,23,a,32,470844,470876
left,23,number,288,470943,471239
left,23,NA,1024,468534,470942
left,24,Look,480,483450,483944
left,24,a,96,484605,484703
left,24,here,256,484242,484505
left,24,is,96,484506,484604
left,24,number,448,484770,485231
left,24,NA,2624,482295,486584
middle,3,NA,224,121869,125762
middle,5,Look,160,159753,159917
middle,5,number,224,160842,161072
middle,5,NA,704,158664,162161
middle,6,new,192,175395,175592
