AOI_lable,trialNumber,word,gazeEventDuration,totalTrialDuration,firstPointGazeOnsetTime,lastPointGazeOffsetTime,targetNumber,delayDuration,trialOnset,trialOffset,wordOnset,wordOffset
inBetween,3,NA,224,4521,122034,125696,745,396,121638,126159,122034,125696
inBetween,4,number,192,4554,143022,143219,24,2211,140811,145365,143022,143219
inBetween,5,number,32,4587,160809,160841,629,2739,158070,162657,160809,160841
inBetween,5,NA,32,4587,160116,160148,629,2046,158070,162657,160116,160148
inBetween,6,NA,160,4521,177375,177539,438,3828,173547,178068,177375,177539
inBetween,7,number,96,4554,197934,198131,368,2277,195657,200211,197934,198131
inBetween,7,NA,64,4554,199188,199253,368,3531,195657,200211,199188,199253
inBetween,9,number,32,4554,234333,234365,574,2904,231429,235983,234333,234365
inBetween,9,NA,416,4554,231660,232088,574,231,231429,235983,231660,232088
inBetween,10,NA,96,4521,246147,250073,836,495,245652,250173,246147,250073
inBetween,11,NA,96,4554,262350,262514,69,1122,261228,265782,262350,262514
inBetween,12,NA,256,4554,288024,288287,75,3102,284922,289476,288024,288287
inBetween,13,NA,32,4521,308286,308318,275,957,307329,311850,308286,308318
inBetween,14,Look,32,4521,324423,324455,89,1320,323103,327624,324423,324455
inBetween,14,here,64,4521,325446,325511,89,2343,323103,327624,325446,325511
inBetween,14,is,64,4521,325512,325577,89,2409,323103,327624,325512,325577
inBetween,14,NA,224,4521,324192,324422,89,1089,323103,327624,324192,324422
inBetween,15,Look,64,4521,339339,339404,182,1485,337854,342375,339339,339404
inBetween,15,number,128,4521,340131,340262,182,2277,337854,342375,340131,340262
inBetween,15,this,32,4521,339603,339635,182,1749,337854,342375,339603,339635
inBetween,15,NA,256,4521,339537,340922,182,1683,337854,342375,339537,340922
inBetween,16,NA,160,4587,358677,358907,48,4257,354420,359007,358677,358907
inBetween,17,new,96,4554,370755,370853,492,1914,368841,373395,370755,370853
inBetween,17,NA,64,4554,371811,371876,492,2970,368841,373395,371811,371876
inBetween,22,number,32,4554,456159,456191,153,2706,453453,458007,456159,456191
