frameNumber,time,gazeOrdinal,pointGazeOnsetTime,pointGazeOffsetTime,AOI_lable,trialNumber,trialOnset,trialOffset,targetNumber,word,pointGazeDuration
8,85866,1,85866,85898,left,1,85635,90222,93,NA,32
9,85899,2,85899,85931,left,1,85635,90222,93,NA,32
10,85932,3,85932,85964,left,1,85635,90222,93,NA,32
11,85965,4,85965,85997,left,1,85635,90222,93,NA,32
12,85998,5,85998,86030,left,1,85635,90222,93,NA,32
13,86031,6,86031,86063,left,1,85635,90222,93,NA,32
14,86064,7,86064,86096,left,1,85635,90222,93,NA,32
15,86097,8,86097,86129,left,1,85635,90222,93,NA,32
16,86130,9,86130,86162,left,1,85635,90222,93,NA,32
17,86163,10,86163,86195,left,1,85635,90222,93,NA,32
18,86196,11,86196,86228,left,1,85635,90222,93,NA,32
19,86229,12,86229,86261,left,1,85635,90222,93,NA,32
20,86262,13,86262,86294,left,1,85635,90222,93,NA,32
21,86295,14,86295,86327,left,1,85635,90222,93,NA,32
22,86328,15,86328,86360,left,1,85635,90222,93,NA,32
23,86361,16,86361,86393,left,1,85635,90222,93,NA,32
24,86394,17,86394,86426,left,1,85635,90222,93,NA,32
25,86427,18,86427,86459,left,1,85635,90222,93,NA,32
26,86460,19,86460,86492,left,1,85635,90222,93,NA,32
27,86493,20,86493,86525,left,1,85635,90222,93,NA,32
28,86526,21,86526,86558,left,1,85635,90222,93,NA,32
29,86559,22,86559,86591,left,1,85635,90222,93,NA,32
30,86592,23,86592,86624,left,1,85635,90222,93,NA,32
31,86625,24,86625,86657,left,1,85635,90222,93,NA,32
32,86658,25,86658,86690,left,1,85635,90222,93,NA,32
33,86691,26,86691,86723,left,1,85635,90222,93,NA,32
34,86724,27,86724,86756,left,1,85635,90222,93,NA,32
35,86757,28,86757,86789,left,1,85635,90222,93,NA,32
36,86790,29,86790,86822,left,1,85635,90222,93,NA,32
37,86823,30,86823,86855,left,1,85635,90222,93,NA,32
38,86856,31,86856,86888,left,1,85635,90222,93,NA,32
39,86889,32,86889,86921,left,1,85635,90222,93,NA,32
40,86922,33,86922,86954,left,1,85635,90222,93,NA,32
41,86955,34,86955,86987,left,1,85635,90222,93,NA,32
42,86988,35,86988,87020,left,1,85635,90222,93,Look,32
43,87021,36,87021,87053,left,1,85635,90222,93,Look,32
