framenum,time,Gaze_position_during_number_pres.ordinal,Gaze_position_during_number_pres.onset,Gaze_position_during_number_pres.offset,Gaze_position_during_number_pres.l/m/r/i/n,Trials.ordinal,Trials.onset,Trials.offset,Trials.number
1,85635,,,,,1,85635,90222,93
2,85668,,,,,1,85635,90222,93
3,85701,,,,,1,85635,90222,93
4,85734,,,,,1,85635,90222,93
5,85767,,,,,1,85635,90222,93
6,85800,,,,,1,85635,90222,93
7,85833,,,,,1,85635,90222,93
8,85866,1,85866,85898,l,1,85635,90222,93
9,85899,2,85899,85931,l,1,85635,90222,93
10,85932,3,85932,85964,l,1,85635,90222,93
11,85965,4,85965,85997,l,1,85635,90222,93
12,85998,5,85998,86030,l,1,85635,90222,93
13,86031,6,86031,86063,l,1,85635,90222,93
14,86064,7,86064,86096,l,1,85635,90222,93
15,86097,8,86097,86129,l,1,85635,90222,93
16,86130,9,86130,86162,l,1,85635,90222,93
17,86163,10,86163,86195,l,1,85635,90222,93
18,86196,11,86196,86228,l,1,85635,90222,93
19,86229,12,86229,86261,l,1,85635,90222,93
20,86262,13,86262,86294,l,1,85635,90222,93
21,86295,14,86295,86327,l,1,85635,90222,93
22,86328,15,86328,86360,l,1,85635,90222,93
23,86361,16,86361,86393,l,1,85635,90222,93
24,86394,17,86394,86426,l,1,85635,90222,93
25,86427,18,86427,86459,l,1,85635,90222,93
26,86460,19,86460,86492,l,1,85635,90222,93
27,86493,20,86493,86525,l,1,85635,90222,93
28,86526,21,86526,86558,l,1,85635,90222,93
29,86559,22,86559,86591,l,1,85635,90222,93
30,86592,23,86592,86624,l,1,85635,90222,93
31,86625,24,86625,86657,l,1,85635,90222,93
32,86658,25,86658,86690,l,1,85635,90222,93
33,86691,26,86691,86723,l,1,85635,90222,93
34,86724,27,86724,86756,l,1,85635,90222,93
35,86757,28,86757,86789,l,1,85635,90222,93
36,86790,29,86790,86822,l,1,85635,90222,93
37,86823,30,86823,86855,l,1,85635,90222,93
38,86856,31,86856,86888,l,1,85635,90222,93
39,86889,32,86889,86921,l,1,85635,90222,93
40,86922,33,86922,86954,l,1,85635,90222,93
41,86955,34,86955,86987,l,1,85635,90222,93
42,86988,35,86988,87020,l,1,85635,90222,93
43,87021,36,87021,87053,l,1,85635,90222,93
44,87054,37,87054,87086,l,1,85635,90222,93
45,87087,38,87087,87119,l,1,85635,90222,93
46,87120,39,87120,87152,l,1,85635,90222,93
47,87153,40,87153,87185,l,1,85635,90222,93
48,87186,41,87186,87218,l,1,85635,90222,93
49,87219,42,87219,87251,l,1,85635,90222,93
50,87252,43,87252,87284,l,1,85635,90222,93
51,87285,44,87285,87317,l,1,85635,90222,93
52,87318,45,87318,87350,n,1,85635,90222,93
53,87351,46,87351,87383,n,1,85635,90222,93
54,87384,47,87384,87416,n,1,85635,90222,93
55,87417,48,87417,87449,n,1,85635,90222,93
56,87450,49,87450,87482,n,1,85635,90222,93
57,87483,50,87483,87515,n,1,85635,90222,93
58,87516,51,87516,87548,l,1,85635,90222,93
59,87549,52,87549,87581,l,1,85635,90222,93
60,87582,53,87582,87614,l,1,85635,90222,93
61,87615,54,87615,87647,l,1,85635,90222,93
62,87648,55,87648,87680,l,1,85635,90222,93
63,87681,56,87681,87713,l,1,85635,90222,93
64,87714,57,87714,87746,l,1,85635,90222,93
65,87747,58,87747,87779,l,1,85635,90222,93
66,87780,59,87780,87812,l,1,85635,90222,93
67,87813,60,87813,87845,l,1,85635,90222,93
68,87846,61,87846,87878,l,1,85635,90222,93
69,87879,62,87879,87911,l,1,85635,90222,93
70,87912,63,87912,87944,l,1,85635,90222,93
71,87945,64,87945,87977,l,1,85635,90222,93
72,87978,65,87978,88010,l,1,85635,90222,93
73,88011,66,88011,88043,l,1,85635,90222,93
74,88044,67,88044,88076,l,1,85635,90222,93
75,88077,68,88077,88109,l,1,85635,90222,93
76,88110,69,88110,88142,l,1,85635,90222,93
77,88143,70,88143,88175,l,1,85635,90222,93
78,88176,71,88176,88208,l,1,85635,90222,93
79,88209,72,88209,88241,l,1,85635,90222,93
80,88242,73,88242,88274,l,1,85635,90222,93
81,88275,74,88275,88307,l,1,85635,90222,93
82,88308,75,88308,88340,l,1,85635,90222,93
83,88341,76,88341,88373,l,1,85635,90222,93
84,88374,77,88374,88406,l,1,85635,90222,93
85,88407,78,88407,88439,l,1,85635,90222,93
86,88440,79,88440,88472,l,1,85635,90222,93
87,88473,80,88473,88505,l,1,85635,90222,93
88,88506,81,88506,88538,l,1,85635,90222,93
89,88539,82,88539,88571,l,1,85635,90222,93
90,88572,83,88572,88604,l,1,85635,90222,93
91,88605,84,88605,88637,l,1,85635,90222,93
92,88638,85,88638,88670,l,1,85635,90222,93
93,88671,86,88671,88703,l,1,85635,90222,93
94,88704,87,88704,88736,l,1,85635,90222,93
95,88737,88,88737,88769,l,1,85635,90222,93
96,88770,89,88770,88802,l,1,85635,90222,93
97,88803,90,88803,88835,l,1,85635,90222,93
98,88836,91,88836,88868,l,1,85635,90222,93
99,88869,92,88869,88901,l,1,85635,90222,93
100,88902,93,88902,88934,l,1,85635,90222,93
101,88935,94,88935,88967,l,1,85635,90222,93
102,88968,95,88968,89000,l,1,85635,90222,93
103,89001,96,89001,89033,l,1,85635,90222,93
104,89034,97,89034,89066,l,1,85635,90222,93
