"frameNumber","time","gazeOrdinal","gazeOnsetTime","gazeOffsetTime","POI_lable","trialNumber","trialOnset","trialOffset","targetNumber","gazeDuration","cum_duration","total_duration_per_trial","percentage","target_digits"
8,85866,1,85866,85898,"l",1,85635,90222,93,32,0,4192,0.763358778625954,2
9,85899,2,85899,85931,"l",1,85635,90222,93,32,32,4192,0.763358778625954,2
10,85932,3,85932,85964,"l",1,85635,90222,93,32,64,4192,0.763358778625954,2
11,85965,4,85965,85997,"l",1,85635,90222,93,32,96,4192,0.763358778625954,2
12,85998,5,85998,86030,"l",1,85635,90222,93,32,128,4192,0.763358778625954,2
13,86031,6,86031,86063,"l",1,85635,90222,93,32,160,4192,0.763358778625954,2
14,86064,7,86064,86096,"l",1,85635,90222,93,32,192,4192,0.763358778625954,2
15,86097,8,86097,86129,"l",1,85635,90222,93,32,224,4192,0.763358778625954,2
16,86130,9,86130,86162,"l",1,85635,90222,93,32,256,4192,0.763358778625954,2
17,86163,10,86163,86195,"l",1,85635,90222,93,32,288,4192,0.763358778625954,2
18,86196,11,86196,86228,"l",1,85635,90222,93,32,320,4192,0.763358778625954,2
19,86229,12,86229,86261,"l",1,85635,90222,93,32,352,4192,0.763358778625954,2
20,86262,13,86262,86294,"l",1,85635,90222,93,32,384,4192,0.763358778625954,2
21,86295,14,86295,86327,"l",1,85635,90222,93,32,416,4192,0.763358778625954,2
22,86328,15,86328,86360,"l",1,85635,90222,93,32,448,4192,0.763358778625954,2
23,86361,16,86361,86393,"l",1,85635,90222,93,32,480,4192,0.763358778625954,2
24,86394,17,86394,86426,"l",1,85635,90222,93,32,512,4192,0.763358778625954,2
25,86427,18,86427,86459,"l",1,85635,90222,93,32,544,4192,0.763358778625954,2
26,86460,19,86460,86492,"l",1,85635,90222,93,32,576,4192,0.763358778625954,2
27,86493,20,86493,86525,"l",1,85635,90222,93,32,608,4192,0.763358778625954,2
28,86526,21,86526,86558,"l",1,85635,90222,93,32,640,4192,0.763358778625954,2
29,86559,22,86559,86591,"l",1,85635,90222,93,32,672,4192,0.763358778625954,2
30,86592,23,86592,86624,"l",1,85635,90222,93,32,704,4192,0.763358778625954,2
31,86625,24,86625,86657,"l",1,85635,90222,93,32,736,4192,0.763358778625954,2
32,86658,25,86658,86690,"l",1,85635,90222,93,32,768,4192,0.763358778625954,2
33,86691,26,86691,86723,"l",1,85635,90222,93,32,800,4192,0.763358778625954,2
34,86724,27,86724,86756,"l",1,85635,90222,93,32,832,4192,0.763358778625954,2
35,86757,28,86757,86789,"l",1,85635,90222,93,32,864,4192,0.763358778625954,2
36,86790,29,86790,86822,"l",1,85635,90222,93,32,896,4192,0.763358778625954,2
37,86823,30,86823,86855,"l",1,85635,90222,93,32,928,4192,0.763358778625954,2
38,86856,31,86856,86888,"l",1,85635,90222,93,32,960,4192,0.763358778625954,2
