trial_id,condition,num_presentation_type,audio_presentation_context,other_features,target_number,accuracy,foil,response_key,response_time
17,2,3 digits,Look here is a number,swap_1_2,629,0,269,left,3.861
14,2,3 digits,Look at this new number,swap_1_3,438,1,834,left,3.721
3,2,2 digits,Look here is a number,none,52,0,25,left,3.538
4,2,2 digits,Look at this new number,none,67,1,76,left,3.803
1,2,2 digits,Look at this new number,none,36,0,63,left,2.819
10,2,2 digits,Look at this new number,none,48,1,84,left,2.744
16,2,3 digits,Look at this new number,swap_2_3,368,1,386,left,3.665
21,2,3 digits,Look here is a number,swap_1_2,574,1,754,right,4.826
19,2,3 digits,Look here is a number,swap_2_3,275,0,257,left,4.026
9,2,2 digits,Look here is a number,none,37,1,73,right,3.533
22,2,3 digits,Look at this new number,swap_1_3,941,1,149,left,3.097
6,2,2 digits,Look at this new number,none,84,1,48,left,3.107
0,2,2 digits,Look here is a number,none,27,1,72,left,3.888
23,2,3 digits,Look here is a number,swap_2_3,153,1,135,right,4.328
7,2,2 digits,Look here is a number,none,93,1,39,right,4.261
5,2,2 digits,Look here is a number,none,75,0,57,left,7.421
20,2,3 digits,Look at this new number,swap_1_3,492,1,294,left,2.694
15,2,3 digits,Look here is a number,swap_1_2,745,1,475,right,5.134
13,2,3 digits,Look here is a number,swap_1_2,596,1,956,right,4.593
8,2,2 digits,Look at this new number,none,24,1,42,left,5.4
12,2,3 digits,Look at this new number,swap_2_3,182,1,128,left,4.916
2,2,2 digits,Look here is a number,none,89,1,98,left,2.998
11,2,2 digits,Look here is a number,none,69,0,96,left,4.78
18,2,3 digits,Look at this new number,swap_1_3,836,1,638,left,4.104
