,Conditions,Trials,Number_type,Other_features,Target,Foil,Location,Answer,Audio,RT
0,1,0,2 digits,none,27,72,left,,twenty seven,
1,1,1,2 digits,none,39,93,right,,thirty nine,
2,1,2,2 digits,none,49,94,left,,fourty nine,
3,1,3,2 digits,none,52,25,right,,fifty two,
4,1,4,2 digits,none,67,76,left,,sixty seven,
5,1,5,2 digits,none,75,57,right,,seventy five,
6,1,6,2 digits,none,84,48,left,,eighty four,
7,1,7,2 digits,none,93,39,right,,ninety three,
8,1,8,2 digits,none,25,52,left,,twenty five,
9,1,9,2 digits,none,37,73,right,,thirty seven,
10,1,10,2 digits,none,48,84,left,,forty eight,
11,1,11,2 digits,none,69,96,right,,sixty nine,
12,1,12,3 digits,swap_2_3,132,123,left,,one hundred thirty two,
13,1,13,3 digits,swap_1_2,569,659,right,,five hundred sixty nine,
14,1,14,3 digits,swap_1_3,438,834,left,,four hundred thirty eight,
15,1,15,3 digits,swap_2_3,745,754,right,,seven hundred forty five,
16,1,16,3 digits,swap_2_3,368,386,left,,three hundred sixty eight,
17,1,17,3 digits,swap_1_2,629,269,right,,six hundred twenty nine,
18,1,18,3 digits,swap_1_3,839,938,left,,eight hundred thirty nine,
19,1,19,3 digits,swap_2_3,235,253,right,,two hundred thirty five,
20,1,20,3 digits,swap_2_3,492,429,left,,four hundred ninety two,
21,1,21,3 digits,swap_1_2,574,754,right,,five hundred seventy four,
22,1,22,3 digits,swap_1_3,641,146,left,,six hundred forty one,
23,1,23,3 digits,swap_2_3,159,195,right,,one hundred fifty nine,
24,2,0,2 digits,none,27,72,left,,Look at this number. Look at it closely,
25,2,1,2 digits,none,39,93,right,,"Look, here is a number.",
26,2,2,2 digits,none,49,94,left,,Here is a number. Look at it closely,
27,2,3,2 digits,none,52,25,right,,Look at this new number.,
28,2,4,2 digits,none,67,76,left,,Look at this number. Look at it closely,
29,2,5,2 digits,none,75,57,right,,"Look, here is a number.",
30,2,6,2 digits,none,84,48,left,,Here is a number. Look at it closely,
31,2,7,2 digits,none,93,39,right,,Look at this new number.,
32,2,8,2 digits,none,25,52,left,,Look at this number. Look at it closely,
33,2,9,2 digits,none,37,73,right,,"Look, here is a number.",
34,2,10,2 digits,none,48,84,left,,Here is a number. Look at it closely,
35,2,11,2 digits,none,69,96,right,,Look at this new number.,
36,2,12,3 digits,swap_2_3,132,123,left,,Look at this number. Look at it closely,
37,2,13,3 digits,swap_1_2,569,659,right,,"Look, here is a number.",
38,2,14,3 digits,swap_1_3,438,834,left,,Here is a number. Look at it closely,
39,2,15,3 digits,swap_2_3,745,754,right,,Look at this new number.,
40,2,16,3 digits,swap_2_3,368,386,left,,Look at this number. Look at it closely,
41,2,17,3 digits,swap_1_2,629,269,right,,"Look, here is a number.",
42,2,18,3 digits,swap_1_3,839,938,left,,Here is a number. Look at it closely,
43,2,19,3 digits,swap_2_3,235,253,right,,Look at this new number.,
44,2,20,3 digits,swap_2_3,492,429,left,,Look at this number. Look at it closely,
45,2,21,3 digits,swap_1_2,574,754,right,,"Look, here is a number.",
46,2,22,3 digits,swap_1_3,641,146,left,,Here is a number. Look at it closely,
47,2,23,3 digits,swap_2_3,159,195,right,,Look at this new number.,
