digit,freq start (old),freq end (old),freq mid (old),frequency total,freq start (new),freq end (new),freq mid (new),frequency total,old target,old foil,new target,new foil
1,2,0,0,2,2,0,0,2,27,72,27,72
2,3,3,1,7,3,3,1,7,39,93,36,63
3,3,1,4,8,3,2,2,7,49,94,89,98
4,4,2,2,8,3,3,2,8,52,25,52,25
5,3,4,1,8,3,3,1,7,67,76,67,76
6,4,0,2,6,3,3,2,8,75,57,75,57
7,2,3,1,6,2,3,2,7,84,48,84,48
8,2,3,0,5,3,3,1,7,93,39,93,39
9,1,7,1,9,2,2,2,6,25,52,24,42
,,,,,,,,,37,73,37,73
,,,,,,,,,48,84,48,84
,,,,,,,,,69,96,69,96
,,,,,,,,,132,123,182,128
,,,,,,,,,569,659,596,659
,,,,,,,,,438,834,438,834
,,,,,,,,,745,754,745,754
,,,,,,,,,368,386,368,386
,,,,,,,,,629,269,629,269
,,,,,,,,,839,938,836,638
,,,,,,,,,235,253,275,257
,,,,,,,,,492,429,492,429
,,,,,,,,,574,754,574,754
,,,,,,,,,641,146,941,149
,,,,,,,,,159,195,153,135
