trial_id,condition,num_presentation_type,audio_presentation_context,other_features,target_number,accuracy,foil,response_key,response_time
23,1,3 digits,one hundred and fifty three,swap_2_3,153,0,135,left,10.023
13,1,3 digits,five hundred and ninety six,swap_1_2,596,0,956,left,7.999
10,1,2 digits,forty eight,none,48,1,84,left,9.322
16,1,3 digits,three hundred and sixty eight,swap_2_3,368,1,386,left,6.452
8,1,2 digits,twenty four,none,24,1,42,left,4.953
15,1,3 digits,seven hundred and forty five,swap_1_2,745,0,475,left,6.17
18,1,3 digits,eight hundred and thirty six,swap_1_3,836,1,638,left,4.047
12,1,3 digits,one hundred and eighty two,swap_2_3,182,1,128,left,5.819
0,1,2 digits,twenty seven,none,27,1,72,left,5.321
19,1,3 digits,two hundred and seventy five,swap_2_3,275,0,257,left,5.011
11,1,2 digits,sixty nine,none,69,0,96,left,4.972
22,1,3 digits,nine hundred and forty one,swap_1_3,941,1,149,left,7.364
1,1,2 digits,thirty six,none,36,0,63,left,34.443
21,1,3 digits,five hundred and seventy four,swap_1_2,574,0,754,left,4.691
9,1,2 digits,thirty seven,none,37,0,73,left,19.14
14,1,3 digits,four hundred and thirty eight,swap_1_3,438,1,834,left,4.958
6,1,2 digits,eighty four,none,84,1,48,left,4.648
5,1,2 digits,seventy five,none,75,0,57,left,4.409
17,1,3 digits,six hundred and twenty nine,swap_1_2,629,0,269,left,11.972
4,1,2 digits,sixty seven,none,67,1,76,left,5.121
20,1,3 digits,four hundred and ninety two,swap_1_3,492,1,294,left,13.937
7,1,2 digits,ninety three,none,93,0,39,left,11.143
3,1,2 digits,fifty two,none,52,0,25,left,5.4
2,1,2 digits,eighty nine,none,89,1,98,left,5.387
