trial_id,condition,num_presentation_type,audio_presentation_context,target_number,foil,response_key,response_time
13,1,3 digits,five hundred sixty nine,569,659,left,1.095
4,1,2 digits,sixty seven,67,76,left,1.407
17,1,3 digits,six hundred twenty nine,629,269,left,0.768
1,1,2 digits,thirty nine,39,93,right,1.603
22,1,3 digits,six hundred forty one,641,146,left,0.564
9,1,2 digits,thirty seven,37,73,left,0.709
23,1,3 digits,one hundred fifty nine,159,195,left,2.432
19,1,3 digits,two hundred thirty five,235,253,left,0.872
0,1,2 digits,twenty seven,27,72,left,0.727
18,1,3 digits,eight hundred thirty nine,839,938,left,0.45
21,1,3 digits,five hundred seventy four,574,754,left,1.012
10,1,2 digits,forty eight,48,84,right,0.594
2,1,2 digits,fourty nine,49,94,left,1.407
5,1,2 digits,seventy five,75,57,left,0.549
15,1,3 digits,seven hundred forty five,745,754,right,1.872
11,1,2 digits,sixty nine,69,96,left,1.041
14,1,3 digits,four hundred thirty eight,438,834,left,0.527
8,1,2 digits,twenty five,25,52,left,0.471
6,1,2 digits,eight four,84,48,left,1.437
3,1,2 digits,fifty two,52,25,left,0.68
16,1,3 digits,three hundred sixty eight,368,386,right,2.014
12,1,3 digits,one hundred thirty two,132,123,left,1.311
7,1,2 digits,ninty three,93,39,right,1.11
20,1,3 digits,four hundred ninty two,492,429,left,0.898
