trial_id,condition,num_presentation_type,audio_presentation_context,target_number,foil,response_key,response_time
7,2,2 digits,Look at this new number.,93,39,left,0.745
6,2,2 digits,Here is a number. Look at it closely,84,48,right,1.029
16,2,3 digits,Look at this number. Look at it closely,368,386,right,1.309
10,2,2 digits,Here is a number. Look at it closely,48,84,right,1.76
12,2,3 digits,Look at this number. Look at it closely,132,123,left,0.363
2,2,2 digits,Here is a number. Look at it closely,49,94,left,0.59
3,2,2 digits,Look at this new number.,52,25,left,1.598
4,2,2 digits,Look at this number. Look at it closely,67,76,left,0.613
1,2,2 digits,"Look, here is a number.",39,93,right,0.341
8,2,2 digits,Look at this number. Look at it closely,25,52,right,1.022
19,2,3 digits,Look at this new number.,235,253,left,1.162
5,2,2 digits,"Look, here is a number.",75,57,left,0.586
0,2,2 digits,Look at this number. Look at it closely,27,72,left,0.448
21,2,3 digits,"Look, here is a number.",574,754,right,2.593
11,2,2 digits,Look at this new number.,69,96,left,2.249
15,2,3 digits,Look at this new number.,745,754,right,6.821
22,2,3 digits,Here is a number. Look at it closely,641,146,left,0.635
13,2,3 digits,"Look, here is a number.",569,659,left,0.824
9,2,2 digits,"Look, here is a number.",37,73,left,0.669
18,2,3 digits,Here is a number. Look at it closely,839,938,left,0.747
20,2,3 digits,Look at this number. Look at it closely,492,429,right,0.859
17,2,3 digits,"Look, here is a number.",629,269,left,4.542
14,2,3 digits,Here is a number. Look at it closely,438,834,left,4.567
23,2,3 digits,Look at this new number.,159,195,right,0.866
