trial_id,condition,num_presentation_type,audio_presentation_context,other_features,target_number,accuracy,foil,response_key,response_time
8,2,2 digits,Look at this new number,none,24,1,42,left,3.427
4,2,2 digits,Look at this new number,none,67,1,76,left,3.171
2,2,2 digits,Look here is a number,none,89,1,98,left,3.491
10,2,2 digits,Look at this new number,none,48,1,84,left,2.876
12,2,3 digits,Look at this new number,swap_2_3,182,1,128,left,2.433
18,2,3 digits,Look at this new number,swap_1_3,836,1,638,left,4.108
20,2,3 digits,Look at this new number,swap_1_3,492,1,294,left,2.245
23,2,3 digits,Look here is a number,swap_2_3,153,1,135,right,3.268
21,2,3 digits,Look here is a number,swap_1_2,574,1,754,right,2.826
17,2,3 digits,Look here is a number,swap_1_2,629,1,269,right,3.048
1,2,2 digits,Look at this new number,none,36,1,63,right,2.326
0,2,2 digits,Look here is a number,none,27,1,72,left,3.134
6,2,2 digits,Look at this new number,none,84,0,48,right,5.506
5,2,2 digits,Look here is a number,none,75,1,57,right,4.045
19,2,3 digits,Look here is a number,swap_2_3,275,1,257,right,3.89
15,2,3 digits,Look here is a number,swap_1_2,745,1,475,right,2.685
14,2,3 digits,Look at this new number,swap_1_3,438,1,834,left,7.699
22,2,3 digits,Look at this new number,swap_1_3,941,1,149,left,2.998
7,2,2 digits,Look here is a number,none,93,1,39,right,3.114
3,2,2 digits,Look here is a number,none,52,0,25,left,6.294
13,2,3 digits,Look here is a number,swap_1_2,596,0,956,left,2.829
11,2,2 digits,Look here is a number,none,69,0,96,left,2.959
9,2,2 digits,Look here is a number,none,37,0,73,left,4.534
16,2,3 digits,Look at this new number,swap_2_3,368,1,386,left,5.875
